"pressure","Points:0","Points:1","Points:2"
33.397,0,0,2.41
33.32,0,0,2.415
33.258,0,0,2.42
33.196,0,0,2.425
33.133,0,0,2.43
33.071,0,0,2.435
33.009,0,0,2.44
32.947,0,0,2.445
32.893,0,0,2.45
32.839,0,0,2.455
32.786,0,0,2.46
32.729,0,0,2.465
32.67,0,0,2.47
32.611,0,0,2.475
32.552,0,0,2.48
32.49,0,0,2.485
32.426,0,0,2.49
32.363,0,0,2.495
32.3,0,0,2.5
32.236,0,0,2.505
32.173,0,0,2.51
32.11,0,0,2.515
32.046,0,0,2.52
31.983,0,0,2.525
31.92,0,0,2.53
31.855,0,0,2.535
31.789,0,0,2.54
31.729,0,0,2.545
31.669,0,0,2.55
31.61,0,0,2.555
31.551,0,0,2.56
31.497,0,0,2.565
31.442,0,0,2.57
31.387,0,0,2.575
31.332,0,0,2.58
31.276,0,0,2.585
31.206,0,0,2.59
31.136,0,0,2.595
31.065,0,0,2.6
30.995,0,0,2.605
30.925,0,0,2.61
30.854,0,0,2.615
30.784,0,0,2.62
30.714,0,0,2.625
30.643,0,0,2.63
30.573,0,0,2.635
30.503,0,0,2.64
30.432,0,0,2.645
30.363,0,0,2.65
30.309,0,0,2.655
30.255,0,0,2.66
30.186,0,0,2.665
30.131,0,0,2.67
30.075,0,0,2.675
30.036,0,0,2.68
29.982,0,0,2.685
29.916,0,0,2.69
29.85,0,0,2.695
29.784,0,0,2.7
29.717,0,0,2.705
29.651,0,0,2.71
29.585,0,0,2.715
29.518,0,0,2.72
29.452,0,0,2.725
29.383,0,0,2.73
29.301,0,0,2.735
29.235,0,0,2.74
29.171,0,0,2.745
29.107,0,0,2.75
29.042,0,0,2.755
28.978,0,0,2.76
28.914,0,0,2.765
28.849,0,0,2.77
28.785,0,0,2.775
28.733,0,0,2.78
28.689,0,0,2.785
28.644,0,0,2.79
28.6,0,0,2.795
28.555,0,0,2.8
28.511,0,0,2.805
28.466,0,0,2.81
28.415,0,0,2.815
28.355,0,0,2.82
28.278,0,0,2.825
28.2,0,0,2.83
28.123,0,0,2.835
28.046,0,0,2.84
27.968,0,0,2.845
27.891,0,0,2.85
27.812,0,0,2.855
27.722,0,0,2.86
27.649,0,0,2.865
27.58,0,0,2.87
27.523,0,0,2.875
27.466,0,0,2.88
27.401,0,0,2.885
27.341,0,0,2.89
27.282,0,0,2.895
27.222,0,0,2.9
27.162,0,0,2.905
27.102,0,0,2.91
27.04,0,0,2.915
26.979,0,0,2.92
26.918,0,0,2.925
26.861,0,0,2.93
26.803,0,0,2.935
26.745,0,0,2.94
26.688,0,0,2.945
26.63,0,0,2.95
26.573,0,0,2.955
26.515,0,0,2.96
26.457,0,0,2.965
26.4,0,0,2.97
26.342,0,0,2.975
26.287,0,0,2.98
26.235,0,0,2.985
26.183,0,0,2.99
26.131,0,0,2.995
26.079,0,0,3
26.026,0,0,3.005
25.953,0,0,3.01
25.879,0,0,3.015
25.806,0,0,3.02
25.741,0,0,3.025
25.649,0,0,3.03
25.552,0,0,3.035
25.455,0,0,3.04
25.358,0,0,3.045
25.261,0,0,3.05
25.164,0,0,3.055
25.067,0,0,3.06
24.979,0,0,3.065
24.898,0,0,3.07
24.817,0,0,3.075
24.736,0,0,3.08
24.655,0,0,3.085
24.574,0,0,3.09
24.493,0,0,3.095
24.452,0,0,3.1
24.42,0,0,3.105
24.388,0,0,3.11
24.356,0,0,3.115
24.324,0,0,3.12
24.292,0,0,3.125
24.26,0,0,3.13
24.228,0,0,3.135
24.196,0,0,3.14
24.164,0,0,3.145
24.132,0,0,3.15
24.1,0,0,3.155
24.068,0,0,3.16
24.036,0,0,3.165
24.004,0,0,3.17
23.971,0,0,3.175
23.943,0,0,3.18
23.917,0,0,3.185
23.834,0,0,3.19
23.743,0,0,3.195
23.652,0,0,3.2
23.561,0,0,3.205
23.47,0,0,3.21
23.379,0,0,3.215
23.288,0,0,3.22
23.197,0,0,3.225
23.106,0,0,3.23
23.015,0,0,3.235
22.928,0,0,3.24
22.845,0,0,3.245
22.761,0,0,3.25
22.678,0,0,3.255
22.595,0,0,3.26
22.511,0,0,3.265
22.428,0,0,3.27
22.364,0,0,3.275
22.321,0,0,3.28
22.275,0,0,3.285
22.228,0,0,3.29
22.182,0,0,3.295
22.135,0,0,3.3
22.089,0,0,3.305
22.042,0,0,3.31
21.995,0,0,3.315
21.949,0,0,3.32
21.902,0,0,3.325
21.85,0,0,3.33
21.799,0,0,3.335
21.748,0,0,3.34
21.696,0,0,3.345
21.645,0,0,3.35
21.594,0,0,3.355
21.515,0,0,3.36
21.432,0,0,3.365
21.348,0,0,3.37
21.264,0,0,3.375
21.18,0,0,3.38
21.097,0,0,3.385
21.013,0,0,3.39
20.93,0,0,3.395
20.846,0,0,3.4
20.762,0,0,3.405
20.684,0,0,3.41
20.63,0,0,3.415
20.579,0,0,3.42
20.514,0,0,3.425
20.471,0,0,3.43
20.426,0,0,3.435
20.378,0,0,3.44
20.331,0,0,3.445
20.284,0,0,3.45
20.237,0,0,3.455
20.189,0,0,3.46
20.142,0,0,3.465
20.095,0,0,3.47
20.048,0,0,3.475
20,0,0,3.48
19.953,0,0,3.485
19.906,0,0,3.49
19.859,0,0,3.495
19.811,0,0,3.5
19.751,0,0,3.505
19.68,0,0,3.51
19.609,0,0,3.515
19.533,0,0,3.52
19.455,0,0,3.525
19.376,0,0,3.53
19.298,0,0,3.535
19.22,0,0,3.54
19.141,0,0,3.545
19.063,0,0,3.55
18.984,0,0,3.555
18.906,0,0,3.56
18.828,0,0,3.565
18.749,0,0,3.57
18.668,0,0,3.575
18.586,0,0,3.58
18.504,0,0,3.585
18.432,0,0,3.59
18.368,0,0,3.595
18.304,0,0,3.6
18.244,0,0,3.605
18.184,0,0,3.61
18.123,0,0,3.615
18.067,0,0,3.62
18.007,0,0,3.625
17.926,0,0,3.63
17.865,0,0,3.635
17.804,0,0,3.64
17.743,0,0,3.645
17.681,0,0,3.65
17.62,0,0,3.655
17.559,0,0,3.66
17.498,0,0,3.665
17.437,0,0,3.67
17.379,0,0,3.675
17.332,0,0,3.68
17.286,0,0,3.685
17.24,0,0,3.69
17.191,0,0,3.695
17.135,0,0,3.7
17.079,0,0,3.705
17.023,0,0,3.71
16.967,0,0,3.715
16.91,0,0,3.72
16.848,0,0,3.725
16.78,0,0,3.73
16.711,0,0,3.735
16.641,0,0,3.74
16.563,0,0,3.745
16.482,0,0,3.75
16.401,0,0,3.755
16.32,0,0,3.76
16.239,0,0,3.765
16.158,0,0,3.77
16.077,0,0,3.775
16.012,0,0,3.78
15.965,0,0,3.785
15.919,0,0,3.79
15.874,0,0,3.795
15.828,0,0,3.8
15.762,0,0,3.805
15.689,0,0,3.81
15.615,0,0,3.815
15.546,0,0,3.82
15.483,0,0,3.825
15.42,0,0,3.83
15.357,0,0,3.835
15.294,0,0,3.84
15.23,0,0,3.845
15.167,0,0,3.85
15.104,0,0,3.855
15.04,0,0,3.86
14.977,0,0,3.865
14.914,0,0,3.87
14.851,0,0,3.875
14.787,0,0,3.88
14.718,0,0,3.885
14.65,0,0,3.89
14.583,0,0,3.895
14.515,0,0,3.9
14.448,0,0,3.905
14.38,0,0,3.91
14.312,0,0,3.915
14.245,0,0,3.92
14.178,0,0,3.925
14.112,0,0,3.93
14.046,0,0,3.935
13.98,0,0,3.94
13.914,0,0,3.945
13.852,0,0,3.95
13.791,0,0,3.955
13.731,0,0,3.96
13.671,0,0,3.965
13.61,0,0,3.97
13.55,0,0,3.975
13.489,0,0,3.98
13.429,0,0,3.985
13.368,0,0,3.99
13.308,0,0,3.995
13.247,0,0,4
13.183,0,0,4.005
13.118,0,0,4.01
13.054,0,0,4.015
12.99,0,0,4.02
12.926,0,0,4.025
12.85,0,0,4.03
12.77,0,0,4.035
12.702,0,0,4.04
12.634,0,0,4.045
12.566,0,0,4.05
12.499,0,0,4.055
12.431,0,0,4.06
12.363,0,0,4.065
12.296,0,0,4.07
12.227,0,0,4.075
12.155,0,0,4.08
12.082,0,0,4.085
12.009,0,0,4.09
11.936,0,0,4.095
11.863,0,0,4.1
11.791,0,0,4.105
11.72,0,0,4.11
11.652,0,0,4.115
11.584,0,0,4.12
11.529,0,0,4.125
11.474,0,0,4.13
11.419,0,0,4.135
11.365,0,0,4.14
11.31,0,0,4.145
11.262,0,0,4.15
11.218,0,0,4.155
11.173,0,0,4.16
11.129,0,0,4.165
11.084,0,0,4.17
11.039,0,0,4.175
10.995,0,0,4.18
10.95,0,0,4.185
10.906,0,0,4.19
10.862,0,0,4.195
10.79,0,0,4.2
10.715,0,0,4.205
10.64,0,0,4.21
10.565,0,0,4.215
10.49,0,0,4.22
10.414,0,0,4.225
10.339,0,0,4.23
10.264,0,0,4.235
10.186,0,0,4.24
10.108,0,0,4.245
10.033,0,0,4.25
9.957,0,0,4.255
9.8845,0,0,4.26
9.8168,0,0,4.265
9.749,0,0,4.27
9.6812,0,0,4.275
9.6125,0,0,4.28
9.5309,0,0,4.285
9.449,0,0,4.29
9.3664,0,0,4.295
9.2837,0,0,4.3
9.204,0,0,4.305
9.1247,0,0,4.31
9.0455,0,0,4.315
8.9724,0,0,4.32
8.9044,0,0,4.325
8.8364,0,0,4.33
8.7684,0,0,4.335
8.7004,0,0,4.34
8.6324,0,0,4.345
8.5717,0,0,4.35
8.5061,0,0,4.355
8.4406,0,0,4.36
8.3751,0,0,4.365
8.3095,0,0,4.37
8.2437,0,0,4.375
8.2111,0,0,4.38
8.1785,0,0,4.385
8.1458,0,0,4.39
8.1116,0,0,4.395
8.0764,0,0,4.4
8.0412,0,0,4.405
7.9936,0,0,4.41
7.9133,0,0,4.415
7.833,0,0,4.42
7.7526,0,0,4.425
7.6795,0,0,4.43
7.6215,0,0,4.435
7.5634,0,0,4.44
7.5054,0,0,4.445
7.4473,0,0,4.45
7.3893,0,0,4.455
7.3313,0,0,4.46
7.2732,0,0,4.465
7.2114,0,0,4.47
7.1478,0,0,4.475
7.0842,0,0,4.48
