"pressure","Points:0","Points:1","Points:2"
35.644,0,0,16.58
35.425,0,0,16.6
35.233,0,0,16.62
35.042,0,0,16.64
34.852,0,0,16.66
34.694,0,0,16.68
34.515,0,0,16.7
34.313,0,0,16.72
34.104,0,0,16.74
33.891,0,0,16.76
33.678,0,0,16.78
33.439,0,0,16.8
33.239,0,0,16.82
33.026,0,0,16.84
32.817,0,0,16.86
32.608,0,0,16.88
32.407,0,0,16.9
32.223,0,0,16.92
32.021,0,0,16.94
31.795,0,0,16.96
31.555,0,0,16.98
31.336,0,0,17
31.147,0,0,17.02
30.983,0,0,17.04
30.761,0,0,17.06
30.563,0,0,17.08
30.362,0,0,17.1
30.133,0,0,17.12
29.891,0,0,17.14
29.635,0,0,17.16
29.393,0,0,17.18
29.152,0,0,17.2
28.915,0,0,17.22
28.704,0,0,17.24
28.617,0,0,17.26
28.53,0,0,17.28
28.443,0,0,17.3
28.197,0,0,17.32
27.914,0,0,17.34
27.621,0,0,17.36
27.341,0,0,17.38
27.147,0,0,17.4
26.96,0,0,17.42
26.78,0,0,17.44
26.626,0,0,17.46
26.405,0,0,17.48
26.145,0,0,17.5
25.89,0,0,17.52
25.697,0,0,17.54
25.574,0,0,17.56
25.45,0,0,17.58
25.315,0,0,17.6
25.114,0,0,17.62
24.864,0,0,17.64
24.582,0,0,17.66
24.3,0,0,17.68
24.075,0,0,17.7
23.873,0,0,17.72
23.672,0,0,17.74
23.472,0,0,17.76
23.296,0,0,17.78
23.123,0,0,17.8
22.923,0,0,17.82
22.712,0,0,17.84
22.471,0,0,17.86
22.234,0,0,17.88
21.994,0,0,17.9
21.811,0,0,17.92
21.686,0,0,17.94
21.543,0,0,17.96
21.382,0,0,17.98
21.152,0,0,18
20.896,0,0,18.02
20.611,0,0,18.04
20.276,0,0,18.06
19.926,0,0,18.08
19.693,0,0,18.1
19.59,0,0,18.12
19.487,0,0,18.14
19.39,0,0,18.16
19.191,0,0,18.18
18.991,0,0,18.2
18.792,0,0,18.22
18.567,0,0,18.24
18.342,0,0,18.26
18.129,0,0,18.28
17.899,0,0,18.3
17.688,0,0,18.32
17.477,0,0,18.34
17.275,0,0,18.36
17.101,0,0,18.38
16.935,0,0,18.4
16.707,0,0,18.42
16.434,0,0,18.44
16.157,0,0,18.46
15.879,0,0,18.48
15.675,0,0,18.5
15.568,0,0,18.52
15.46,0,0,18.54
15.353,0,0,18.56
15.246,0,0,18.58
15.041,0,0,18.6
14.744,0,0,18.62
14.43,0,0,18.64
14.13,0,0,18.66
13.831,0,0,18.68
13.539,0,0,18.7
13.322,0,0,18.72
13.124,0,0,18.74
12.948,0,0,18.76
12.764,0,0,18.78
12.568,0,0,18.8
12.349,0,0,18.82
12.159,0,0,18.84
12.021,0,0,18.86
11.839,0,0,18.88
11.589,0,0,18.9
11.364,0,0,18.92
11.145,0,0,18.94
10.995,0,0,18.96
10.867,0,0,18.98
10.737,0,0,19
10.548,0,0,19.02
10.315,0,0,19.04
10.057,0,0,19.06
9.7862,0,0,19.08
9.5284,0,0,19.1
9.3201,0,0,19.12
9.1377,0,0,19.14
8.9553,0,0,19.16
8.7684,0,0,19.18
8.5759,0,0,19.2
8.3614,0,0,19.22
8.153,0,0,19.24
7.9456,0,0,19.26
7.7335,0,0,19.28
7.4744,0,0,19.3
7.2254,0,0,19.32
6.9997,0,0,19.34
6.8242,0,0,19.36
6.6569,0,0,19.38
6.4896,0,0,19.4
6.2795,0,0,19.42
6.0736,0,0,19.44
5.8563,0,0,19.46
5.5756,0,0,19.48
5.4053,0,0,19.5
5.2337,0,0,19.52
5.0525,0,0,19.54
4.8522,0,0,19.56
4.634,0,0,19.58
4.4012,0,0,19.6
4.1371,0,0,19.62
3.8599,0,0,19.64
3.5964,0,0,19.66
3.3693,0,0,19.68
3.1843,0,0,19.7
2.9993,0,0,19.72
2.8269,0,0,19.74
2.6668,0,0,19.76
2.4282,0,0,19.78
2.2326,0,0,19.8
2.0195,0,0,19.82
1.7882,0,0,19.84
1.5759,0,0,19.86
1.4057,0,0,19.88
1.2204,0,0,19.9
1.0351,0,0,19.92
0.81779,0,0,19.94
0.61509,0,0,19.96
0.41431,0,0,19.98
0.22389,0,0,20
